1;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;New Sorting/Export preferences;This will add a new  File Sorting  Tab to the preferences that allows to exactly specify the sort and export order of entries  rather than the rather limited set of choices that were available to date.
7;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;I have implemented 2 features requested in Ticket #841.;The user can now specify an arbitrary number of file-link columns in te  Entry table columns  preferences tab  to be added to the main table. The user can any file types specified in the list of External File Types. The extra columns work exactly like the original file-link column.  For each file-link column whenever there are multiple files  the letter  m  is displayed at the bottom right corner of the icon.       Committer: noravanq   On branch master  Changes to be committed:    (use  git reset HEAD <file>...  to unstage)      modified:   src/main/java/net/sf/jabref/GUIGlobals.java modified:   src/main/java/net/sf/jabref/JabRefPreferences.java modified:   src/main/java/net/sf/jabref/TableColumnsTab.java modified:   src/main/java/net/sf/jabref/gui/MainTableFormat.java modified:   src/main/java/net/sf/jabref/gui/MainTableSelectionListener.java modified:   src/main/java/net/sf/jabref/gui/PreventDraggingJTableHeader.java
10;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;try to fix some obvious bugs about  groups;Hi All  I just upgraded to 2.10 and I found some bugs immediately. 1. in the right-click-menu there is no  move-to-group  but 2  remove from group  instead. 2. I like the new add/remove/move panel  but the scrolling is not working  which is a big problem. Because I have lots of groups which cannot even fit into the full screen height after expansion. 3. no way to expand or collapse all nodes  I tried the dev version  all problems still exist. Here is my fixation.  Cheers   W.L.
11;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;BugFix for bug  #880 PubMed Import broken;Found bug: PubMed/Medline PLAIN format recognized as RIS format. Provided solution:     - Modified RIS ImportFilter. Now RIS format is identified by looking for the  TY  tag (it is a mandatory tag in RIS format and it is not conflictual with other filters)     - Added new ImportFilter  MedlinePlain . This import filter parses Medline files in plain format (not XML). The import filter has been produced referring to the official Medline documentation (http://www.nlm.nih.gov/bsd/mms/medlineelements.html)     - Updated the net.sf.jabref.core plugin.xml file in order to include the newly added MedlinePlain import filter
15;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Make (un)abbreviating journal titles also work on the journaltitle field;I ve (i) added the toggle button to the  journaltitle  field editor and (ii) made the abbreviate/unabbreviate actions change both the  journal  and  journaltitle  fields. The latter might be a bit simple-minded --  should the field to consider depend on whether Biblatex mode is actually turned on?
18;0;0;0;0;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;0;Fix edits getting lost in Biblatex mode;This fixes a bug where edits made in a field on a CompressedEntryEditorTab wouldn t get stored when the field editor lost focus. The bug was caused by EntryEditorTabFocusListener accessing the unused inherited parent field of CompressedEntryEditorTab instances instead of the latter class s own (private) parent field. Instead of doing just a quick fix  I decided to eliminate the excessive code and data duplication in the two classes altogether and consolidate them into one class (with an additional flag to the constructor)  since I don t think an extra class is warranted here (and easily and sensibly implementable by derivation).
19;0;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;Fix error when setting unset field in source panel;When the user tries to set a previously unset field of an entry via the source panel of the entry editor  the program complains with an error message and refuses to store the field values. This change fixes that behaviour.
22;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;Extended the  unknown entry type  error message;I had problems locating which entry had this unknown entry type and hence extended the error message to also include the bibtex key.
24;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Extend BibLatex: support for alias fields;- Added support for aliased fields. For example  the content in the  journaltitle  field is also shown in the  journal  table. - Added cleanup option to convert to the new BibLatex format - Modified the required/optional fields for BibLatex entries to reflect the above changes (the  year  field is no longer required)
27;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;Partial fix for bug #913;Realized many fields were not being exported  not only in .csv and .ods formats as stated in the bug report  but in .sxc as well. I fixed the export for both .ods and .sxc  but couldn t figure out how to fix it for .csv.
29;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Fixed bug #1240. 1-char strings working correctly.;Fixed bug #1240  about an error thrown when trying to add a string with length of one character.
31;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;Take aliased fields into account when sorting entries;
32;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;Small bugfixes/improvements for biblatex support;Fixed bug where conversion of a bibtex year/month representation to the biblatex date field an invalid date would be generated (i.e. 2013-1 instead of 2013-01)  Added basic formating of date fields in cleanup
